Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
"COMP_SCI 396, 496",Machine Learning and Sensing,3:30-4:50 TuTh Ahuja,,3:30-4:50 TuTh Ahuja,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-22.html,"PhDs in CS, TSB, CE, EE, ME. Undergrad, Masters who have completed COMP_SCI 150. No IC required. The course expects students to have a background in python programming"
"COMP_SCI 396, 496","Computing, Ethics, and Society",,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-25.html,"IC - Application: https://forms.gle, coGUDa6PBzNUCaim7"
"COMP_SCI 396, 496",Data-driven Plant Science,,9 - 11:50 Th Arora & Strickler,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-26.html,IC
"COMP_SCI 396, 496",Pragmatics of Programming Languages,,2-4:50 M Dimoulas,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-27.html,IC
COMP_SCI 397,Seminar in Statistical Language Modeling,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-1.html,"CS-349 (, equivalent), intermediate Python"
COMP_SCI 397,Transformative CS Education,,,6:30-9:20 M Horn,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-2.html,"COMP_SCI 211, IC. Please fill out this form to apply https://forms.gle, k15RV9H1CbqUdJ9YA"
COMP_SCI 397,Software Studio,9:30-10:50 TuTh Kurdia,,12:30-1:50 MW Kurdia,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-4.html,COMP_SCI 211 & COMP_SCI 214
COMP_SCI 397,Seminar in Large Language Models,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-5.html,
COMP_SCI 397,Applied AI for Software Development,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-6.html,"(CS 214, senior undergraduate), graduate standing"
"COMP_SCI 397, 497",Advanced Topics in Compilers,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-2.html,COMP_SCI 322 & COMP_SCI 323
"COMP_SCI 397, 497","Sports, Technology and Learning",12:30-1:50 MW Worsley,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-3.html,
"COMP_SCI 397, 497",(Special Topics) Innovation in Journalism & Technology,2-3:50 TuTh Hammond & Wise,2-3:50 TuTh Lee & Hammond,2-3:50 TuTh Wise & Hammond,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-4.html,
"COMP_SCI 397, 497",Multimodal learning analytics and interaction analysis,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-10.html,IC
"COMP_SCI 397, 497",Advanced Multimodal Interfaces and Analysis Research,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-11.html,IC
"COMP_SCI 397, 497",Selected Topics in Computer Networks,,,12:30-1:50 TuTh Kuzmanovic,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-12.html,"Recommended: CS 340, equivalent networking course"
"COMP_SCI 397, 497",Innovation Lab: Building Technologies for the Law,,2:35-5:30 Tu Linna Jr. & Hammond,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-15.html,IC
COMP_SCI 398,Research Track Practicum,,Does not meet Bhagavatula,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/398.html,IC
COMP_SCI 401,Introduction to Graduate Studies in Computer Science,2-3:20 MW Hullman,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/401.html,CE & CS PhDs only
COMP_SCI 407,Advanced Topics in Modern Cryptography,,9:30-10:50 TuTh Wang,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/407.html,"CS 307, CS MS, CS PhDs, IC"
COMP_SCI 409,Swarms and Multi-Robot Systems,2-3:20 TuTh Rubenstein,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/409.html,IC
COMP_SCI 410,Quadrotor Design and Control,,,12:30-3:20 Th Rubenstein,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/410.html,"C programming experience, IC"
COMP_SCI 416,Mathematical Foundations of Machine Learning,,,5-7:50 Tu Liu,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/416.html,PhDs students only
COMP_SCI 432,Mechanism Design,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/432.html,"PhD in CS, PhD Econ, PhD IEMS, PhD CS+LS, PhD TSB, Kellogg PhD MECS, IC"
COMP_SCI 433,Wireless Protocols for the Internet of Things,,,12:30-1:50 TuTh Ghena (Lab: F 11-12:20),,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/433.html,"Prerequisite: CS 346, CS 340, CE 346, EE 326"
COMP_SCI 436,Graduate Algorithms,,,11-12:20 TuTh Makarychev,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/436.html,"CS 212, CS 336, CS MS, CS PhDs"
COMP_SCI 437,Approximation Algorithms,11-12:20 TuTh Makarychev,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/437.html,"COMP_SCI 212, COMP_SCI 336 (, similar courses), CS MS, CS PhDs"
COMP_SCI 439,Advanced Database Systems,,3:30-4:50 MW Crotty,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/439.html,"CS 339, IC"
COMP_SCI 440,Advanced Networking,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/440.html,COMP_SCI 340
COMP_SCI 445,Internet-scale Experimentation,,11-12:20 TuTh Bustamante,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/445.html,"Students must have taken CS 340-0, CS 345-0, CS Graduate standing, IC (If you have taken similar courses somewhere else, have not taken any of these courses, but would like to register for this seminar, please contact"
COMP_SCI 446,Kernel and Other Low-level Software Development,,,2-3:20 MW Dinda,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/446.html,"((CS 213, CE 205), (CS 343, CE 361, CE 366, CE 466)), CS PhDs, CE PhDs, IC"
